Rank,Release Group,Worldwide,Domestic,%,Foreign,%
35,Unhinged,"$43,249,465","$20,831,465",48.2%,"$22,418,000",51.8%
36,Train to Busan Presents: Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%
37,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
38,Monster Hunter,"$40,176,211","$15,104,790",37.6%,"$25,071,421",62.4%
39,The War with Grandpa,"$39,745,976","$21,176,410",53.3%,"$18,569,566",46.7%
40,Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%
41,New Interpretation Records of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%
42,The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%
43,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
44,My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%
45,Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%
46,Bloodshot,"$33,542,457","$12,561,824",37.5%,"$20,980,633",62.5%
47,Doraemon the Movie: Nobita's New Dinosaur,"$33,479,893",-,-,"$33,479,893",100%
48,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%
49,Honest Thief,"$31,135,149","$14,163,574",45.5%,"$16,971,575",54.5%
50,Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%
51,Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%
52,Stand by Me Doraemon 2,"$27,822,101",-,-,"$27,822,101",100%
53,The Witches,"$26,908,448",-,-,"$26,908,448",100%
54,Emma.,"$26,397,107","$10,055,355",38.1%,"$16,341,752",61.9%
55,Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%
56,Scoob!,"$24,900,000",-,-,"$24,900,000",100%
57,Interstellar 2020 Re-release,"$23,771,122",-,-,"$23,771,122",100%
58,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
59,Poupelle of Chimney Town,"$21,651,776",-,-,"$21,651,776",100%
60,Stigmatized Properties,"$21,276,720",-,-,"$21,276,720",100%
61,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
62,Yarn,"$20,444,185",-,-,"$20,444,185",100%
63,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
64,Violet Evergarden: The Movie,"$20,086,270",-,-,"$20,086,270",100%
65,Ice 2,"$19,788,995",-,-,"$19,788,995",100%
66,Soul Snatcher,"$19,548,161",-,-,"$19,548,161",100%
67,The Turning,"$19,427,123","$15,472,775",79.6%,"$3,954,348",20.4%
68,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$19,134,514","$200,000",1%,"$18,934,514",99%
69,How the Grinch Stole Christmas 2020 Re-release,"$18,455,781","$420,180",2.3%,"$18,035,601",97.7%
70,Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%
71,The Promised Neverland,"$17,698,106",-,-,"$17,698,106",100%
72,Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%
73,Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%
74,Digimon Adventure: Last Evolution Kizuna,"$17,068,434",-,-,"$17,068,434",100%
75,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%
76,Pokémon the Movie: Secrets of the Jungle,"$16,052,056",-,-,"$16,052,056",100%
77,I Still Believe,"$16,021,491","$9,868,521",61.6%,"$6,152,970",38.4%
78,Freaky,"$15,920,855","$9,030,855",56.7%,"$6,890,000",43.3%
79,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
80,The Personal History of David Copperfield,"$14,284,948","$1,876,298",13.1%,"$12,408,650",86.9%
81,Pawn,"$14,191,042",-,-,"$14,191,042",100%
82,Nightlife,"$13,796,163",-,-,"$13,796,163",100%
83,#Alive,"$13,432,212",-,-,"$13,432,212",100%
84,Howling Village,"$13,394,556",-,-,"$13,394,556",100%
85,Promising Young Woman,"$13,330,940","$6,449,940",48.4%,"$6,881,000",51.6%
86,Come Play,"$13,173,947","$10,475,990",79.5%,"$2,697,957",20.5%
87,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%
88,News of the World,"$12,666,765","$12,666,765",100%,-,-
89,Collectors,"$12,640,113",-,-,"$12,640,113",100%
90,No Escapes,"$12,575,166",-,-,"$12,575,166",100%
91,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%
92,Legend No. 17,"$11,811,335",-,-,"$11,811,335",100%
93,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%
94,Padre no hay más que uno 2: La llegada de la suegra,"$11,700,000",-,-,"$11,700,000",100%
95,The Hunt,"$11,472,187","$5,812,500",50.7%,"$5,659,687",49.3%
96,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%
97,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
98,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
99,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$10,628,463",-,-,"$10,628,463",100%
100,One Second,"$10,600,000",-,-,"$10,600,000",100%
101,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
102,Let Him Go,"$10,448,550","$9,358,025",89.6%,"$1,090,525",10.4%
103,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
104,My Spy,"$10,200,000",-,-,"$10,200,000",100%
105,The Asadas,"$10,066,797",-,-,"$10,066,797",100%
106,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
107,10 Days with Dad,"$9,470,574",$856,<0.1%,"$9,469,718",100%
108,365 Days,"$9,458,590",-,-,"$9,458,590",100%
109,Secret Zoo,"$9,457,317",-,-,"$9,457,317",100%
110,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
111,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
112,Bigfoot Family,"$9,299,373",-,-,"$9,299,373",100%
113,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
114,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
115,The Closet,"$8,948,595",-,-,"$8,948,595",100%
116,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
117,I Hate Summer,"$8,885,798",-,-,"$8,885,798",100%
118,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
119,30 jours max,"$8,844,803",-,-,"$8,844,803",100%
120,The Secret Garden,"$8,706,648",-,-,"$8,706,648",100%
121,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
122,Malasaña 32,"$8,421,833",-,-,"$8,421,833",100%
123,Malang,"$8,399,765",-,-,"$8,399,765",100%
124,Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%
125,AI Amok,"$7,932,191",-,-,"$7,932,191",100%
126,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
127,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
128,Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,-,"$7,732,435",100%
129,Neposredstvenno Kakha,"$7,692,780",-,-,"$7,692,780",100%
130,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
131,The Heist of the Century,"$7,558,890",-,-,"$7,558,890",100%
132,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
133,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
134,De Gaulle,"$7,145,454",-,-,"$7,145,454",100%
135,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
136,Adu,"$7,085,946",-,-,"$7,085,946",100%
137,The Best Years,"$7,035,246",-,-,"$7,035,246",100%
138,Spycies,"$6,978,537",-,-,"$6,978,537",100%
139,Jim Button and the Wild 13,"$6,880,898",-,-,"$6,880,898",100%
140,Antebellum,"$6,852,361",-,-,"$6,852,361",100%
141,Antoinette dans les Cévennes,"$6,764,481",-,-,"$6,764,481",100%
142,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
143,Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%
144,Innocence,"$6,659,968",-,-,"$6,659,968",100%
145,Fatale,"$6,593,015","$6,306,897",95.7%,"$286,118",4.3%
146,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
147,Silver Skates,"$6,574,310",-,-,"$6,574,310",100%
148,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
149,Hammamet,"$6,434,874",-,-,"$6,434,874",100%
150,Dragon Rider,"$6,431,976",-,-,"$6,431,976",100%
151,"Love Me, Love Me Not","$6,422,001",-,-,"$6,422,001",100%
152,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
153,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
154,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
155,Simply Black,"$6,323,750",-,-,"$6,323,750",100%
156,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
157,Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%
158,Hotel Belgrade,"$6,085,537",-,-,"$6,085,537",100%
159,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
160,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
161,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%
162,How to Be a Good Wife,"$5,938,490",-,-,"$5,938,490",100%
163,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
164,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
165,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
166,Last Letter,"$5,663,972",-,-,"$5,663,972",100%
167,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
168,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
169,Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%
170,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
171,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%
172,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
173,Masked Ward,"$5,106,794",-,-,"$5,106,794",100%
174,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
175,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
176,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
177,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
178,Mayday,"$5,011,408",-,-,"$5,011,408",100%
179,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
180,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
181,Tengaramon,"$4,948,225",-,-,"$4,948,225",100%
182,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
183,The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%
184,Streltsov,"$4,850,073",-,-,"$4,850,073",100%
185,Mama Weed,"$4,832,762",-,-,"$4,832,762",100%
186,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
187,100% Wolf,"$4,808,227","$642,733",13.4%,"$4,165,494",86.6%
188,The Vets,"$4,788,826",-,-,"$4,788,826",100%
189,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%
190,Gladiator 20th Anniversary,"$4,780,585",-,-,"$4,780,585",100%
191,Intruder,"$4,751,103",-,-,"$4,751,103",100%
192,Granny Nanny,"$4,654,333",$432,<0.1%,"$4,653,901",100%
193,Military Wives,"$4,549,863",-,-,"$4,549,863",100%
194,Jawaani Jaaneman,"$4,495,290",-,-,"$4,495,290",100%
195,Not Quite Dead Yet,"$4,405,016",-,-,"$4,405,016",100%
196,Bhoot: Part One - The Haunted Ship,"$4,377,328",-,-,"$4,377,328",100%
197,The Golden Holiday,"$4,356,489",-,-,"$4,356,489",100%
198,Mr. Zoo: The Missing VIP,"$4,354,691",-,-,"$4,354,691",100%
199,The Wretched,"$4,344,913","$1,814,193",41.8%,"$2,530,720",58.2%
200,Delete History,"$4,330,672",-,-,"$4,330,672",100%
201,Rams,"$4,306,844",-,-,"$4,306,844",100%
202,The Rental,"$4,296,804","$1,637,548",38.1%,"$2,659,256",61.9%
203,No Escape,"$4,277,089","$167,962",3.9%,"$4,109,127",96.1%
204,13rd Sister: Three Deadly Days,"$4,257,126",-,-,"$4,257,126",100%
205,The Empty Man,"$4,226,320","$2,992,948",70.8%,"$1,233,372",29.2%
206,Another Round,"$4,177,503",-,-,"$4,177,503",100%
207,Superintelligence,"$4,160,067",-,-,"$4,160,067",100%
208,Thappad,"$4,112,382",-,-,"$4,112,382",100%
209,"Yes, I Do","$4,100,000",-,-,"$4,100,000",100%
210,Bye Bye Morons,"$4,055,291",-,-,"$4,055,291",100%
211,Infidel,"$4,051,990","$4,051,990",100%,-,-
212,25 lat niewinnosci. Sprawa Tomka Komendy,"$4,027,477",-,-,"$4,027,477",100%
213,Asphalt Burning,"$3,989,896",-,-,"$3,989,896",100%
214,Two by Two: Overboard!,"$3,978,052",-,-,"$3,978,052",100%
215,Dreambuilders,"$3,969,776",-,-,"$3,969,776",100%
216,How to Train Your Dragon: The Hidden World 2020 Re-release,"$3,954,065",-,-,"$3,954,065",100%
217,Grand Blue,"$3,930,159",-,-,"$3,930,159",100%
218,Cats & Dogs 3: Paws Unite,"$3,903,149",-,-,"$3,903,149",100%
219,The Father,"$3,887,138","$1,707,213",43.9%,"$2,179,925",56.1%
220,Persian Lessons,"$3,825,668",-,-,"$3,825,668",100%
221,"Yakari, a Spectacular Journey","$3,774,523",-,-,"$3,774,523",100%
222,André Rieu - 70 Years Young,"$3,714,938",-,-,"$3,714,938",100%
223,Figli,"$3,691,574",-,-,"$3,691,574",100%
224,Marafon zhelaniy,"$3,688,995",-,-,"$3,688,995",100%
225,Lassie Come Home,"$3,683,658",-,-,"$3,683,658",100%
226,Fate/Grand Order the Sacred Round Table Realm: Camelot,"$3,658,876",-,-,"$3,658,876",100%
227,Run,"$3,646,515",-,-,"$3,646,515",100%
228,Find Your Voice,"$3,634,579",-,-,"$3,634,579",100%
229,Obratnaya svyaz,"$3,620,042",-,-,"$3,620,042",100%
230,The Elfkins,"$3,582,825",-,-,"$3,582,825",100%
231,Radioactive,"$3,519,221",-,-,"$3,519,221",100%
232,Le lion,"$3,507,711",-,-,"$3,507,711",100%
233,18 Presents,"$3,486,375",-,-,"$3,486,375",100%
234,Pretty Cure Miracle Leap the Movie,"$3,474,150",-,-,"$3,474,150",100%
235,Summer of 85,"$3,444,055",-,-,"$3,444,055",100%
236,I Wish Someone Were Waiting for Me Somewhere,"$3,403,477",-,-,"$3,403,477",100%
237,It's for Your Own Good,"$3,366,372",$256,<0.1%,"$3,366,116",100%
238,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
239,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
240,Ava,"$3,291,445","$497,747",15.1%,"$2,793,698",84.9%
241,Far Too Personal,"$3,272,428",-,-,"$3,272,428",100%
242,Voice of Silence,"$3,271,053",-,-,"$3,271,053",100%
243,Arab Blues,"$3,213,130",-,-,"$3,213,130",100%
244,Samsam,"$3,197,240","$53,273",1.7%,"$3,143,967",98.3%
245,The Secret: Dare to Dream,"$3,184,114",-,-,"$3,184,114",100%
246,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
247,Petla,"$3,144,572",-,-,"$3,144,572",100%
248,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$3,136,150","$2,482,000",79.1%,"$654,150",20.9%
249,Words on Bathroom Walls,"$3,073,857","$2,542,518",82.7%,"$531,339",17.3%
250,The Wedding Unplanner,"$3,069,660",-,-,"$3,069,660",100%
251,Oversize Love,"$3,013,782",-,-,"$3,013,782",100%
252,The Enigma of Arrival,"$3,002,045",-,-,"$3,002,045",100%
253,Les traducteurs,"$2,997,067",-,-,"$2,997,067",100%
254,Appearances,"$2,991,236",-,-,"$2,991,236",100%
255,My Cousin,"$2,974,059",-,-,"$2,974,059",100%
256,Men at Work: Miami,"$2,906,158",-,-,"$2,906,158",100%
257,Caught in the Net,"$2,894,447",-,-,"$2,894,447",100%
258,Scumbag,"$2,876,675",-,-,"$2,876,675",100%
259,Life as It Should Be,"$2,870,736",-,-,"$2,870,736",100%
260,Poly,"$2,849,513",-,-,"$2,849,513",100%
261,Zenek,"$2,832,175",-,-,"$2,832,175",100%
262,Relic,"$2,753,862","$1,047,083",38%,"$1,706,779",62%
263,The Hidden Life of Trees,"$2,737,511",-,-,"$2,737,511",100%
264,Silent Tokyo,"$2,730,104",-,-,"$2,730,104",100%
265,Made in Italy,"$2,712,456","$101,339",3.7%,"$2,611,117",96.3%
266,Miami Bici,"$2,663,916",-,-,"$2,663,916",100%
267,The Memory Eraser,"$2,662,177",-,-,"$2,662,177",100%
268,Doi Mat Am Duong,"$2,642,944",-,-,"$2,642,944",100%
269,Kamen Rider Zero-One: Real×Time,"$2,611,150",-,-,"$2,611,150",100%
270,How to Make Out,"$2,607,444",-,-,"$2,607,444",100%
271,Small Country: An African Childhood,"$2,590,629",-,-,"$2,590,629",100%
272,Gekijôban Shirobako,"$2,588,312",-,-,"$2,588,312",100%
273,Knutsen & Ludvigsen 2 - Det store dyret,"$2,561,134",-,-,"$2,561,134",100%
274,Bayi Toplantisi,"$2,560,632",-,-,"$2,560,632",100%
275,Oh! My Gran,"$2,541,300",-,-,"$2,541,300",100%
276,Sifir Bir,"$2,536,753",-,-,"$2,536,753",100%
277,The Girl with a Bracelet,"$2,535,002",-,-,"$2,535,002",100%
278,Belle fille,"$2,513,010",-,-,"$2,513,010",100%
279,Rom,"$2,509,318",-,-,"$2,509,318",100%
280,A Friendly Tale,"$2,498,547",-,-,"$2,498,547",100%
281,Queens of the Field,"$2,476,539",-,-,"$2,476,539",100%
282,Escape from Pretoria,"$2,431,995",-,-,"$2,431,995",100%
283,The Nightmare Before Christmas 2020 Re-release,"$2,351,189","$2,286,000",97.2%,"$65,189",2.8%
284,"God, You're Such a Prick","$2,337,120",-,-,"$2,337,120",100%
285,"The Things We Say, the Things We Do","$2,335,674",-,-,"$2,335,674",100%
286,"Blue, Painful and Brittle","$2,305,766",-,-,"$2,305,766",100%
287,Coma,"$2,264,690",-,-,"$2,264,690",100%
288,The King of Staten Island,"$2,249,395",-,-,"$2,249,395",100%
289,Kishiryu Sentai Ryusoulger vs. Lupinranger vs. Patranger,"$2,242,513",-,-,"$2,242,513",100%
290,Half Brothers,"$2,241,980","$2,241,980",100%,-,-
291,Bad Boy,"$2,237,552",-,-,"$2,237,552",100%
292,The High Note,"$2,217,874",-,-,"$2,217,874",100%
293,Elf 2020 Re-release,"$2,181,963","$2,003,568",91.8%,"$178,395",8.2%
294,The Outpost,"$2,140,701",-,-,"$2,140,701",100%
295,Charlatan,"$2,124,762",-,-,"$2,124,762",100%
296,Happiest Season,"$2,110,618",-,-,"$2,110,618",100%
297,Perfumes,"$2,058,848",-,-,"$2,058,848",100%
298,Looking for Magical DoReMi,"$2,044,264",-,-,"$2,044,264",100%
299,Parents d'élèves,"$2,033,629",-,-,"$2,033,629",100%
300,Chlap na strídacku,"$2,032,855",-,-,"$2,032,855",100%
301,The Magic Kids: Three Unlikely Heroes,"$2,024,412",-,-,"$2,024,412",100%
302,De Grote Slijmfilm,"$2,008,512",-,-,"$2,008,512",100%
303,Jurassic World: Fallen Kingdom 2020 Re-release,"$1,996,736",-,-,"$1,996,736",100%
304,The Day I Died: Unclosed Case,"$1,988,723",-,-,"$1,988,723",100%
305,Papi Sitter,"$1,975,973",-,-,"$1,975,973",100%
306,All My Life,"$1,965,113","$913,935",46.5%,"$1,051,178",53.5%
307,30 Chua Phai Tet,"$1,957,005",-,-,"$1,957,005",100%
308,Hayaller Ülkesi: Gamonya,"$1,943,338",-,-,"$1,943,338",100%
309,The Craft: Legacy,"$1,918,716",-,-,"$1,918,716",100%
310,Jurassic Park 2020 Re-release,"$1,907,782","$1,386,600",72.7%,"$521,182",27.3%
311,Pirates Down the Street,"$1,900,298",-,-,"$1,900,298",100%
312,Play,"$1,899,658",-,-,"$1,899,658",100%
313,The Metropolitan Opera HD Live: The Gershwins' Porgy and Bess,"$1,887,761",-,-,"$1,887,761",100%
314,Beyond the Dream,"$1,869,039",-,-,"$1,869,039",100%
315,Misbehaviour,"$1,845,897",-,-,"$1,845,897",100%
316,Swingersi,"$1,827,589",-,-,"$1,827,589",100%
317,The Fantastic Journey of Margot & Marguerite,"$1,822,472",-,-,"$1,822,472",100%
318,Wife of a Spy,"$1,812,710",-,-,"$1,812,710",100%
319,"I Have Loved you for 30 Years, Yayoi","$1,783,960",-,-,"$1,783,960",100%
320,3Grapes,"$1,750,746",-,-,"$1,750,746",100%
321,The Comeback Trail,"$1,740,476",-,-,"$1,740,476",100%
322,Darbar,"$1,738,535",-,-,"$1,738,535",100%
323,Night Shift,"$1,707,184",$534,<0.1%,"$1,706,650",100%
324,Josée,"$1,697,922",-,-,"$1,697,922",100%
325,Paw Patrol: Jet to the Rescue,"$1,695,576",-,-,"$1,695,576",100%
326,"Kiss Him, Not Me","$1,669,719",-,-,"$1,669,719",100%
327,How I Became Russian,"$1,668,824",-,-,"$1,668,824",100%
328,Fatman,"$1,646,155","$278,378",16.9%,"$1,367,777",83.1%
329,Moana 2020 Re-release,"$1,630,072",-,-,"$1,630,072",100%
330,Casanova's,"$1,616,489",-,-,"$1,616,489",100%
331,L'esprit de famille,"$1,602,914",-,-,"$1,602,914",100%
332,Little Vampire,"$1,597,517",-,-,"$1,597,517",100%
333,Come Away,"$1,595,354","$184,477",11.6%,"$1,410,877",88.4%
334,Kalashnikov,"$1,593,464",-,-,"$1,593,464",100%
335,Blackbird,"$1,591,123",-,-,"$1,591,123",100%
336,Wasp Network,"$1,585,890",-,-,"$1,585,890",100%
337,#Iamhere,"$1,563,896",-,-,"$1,563,896",100%
338,Terrible Jungle,"$1,560,874",-,-,"$1,560,874",100%
339,Realnye patsany protiv zombi,"$1,554,305",-,-,"$1,554,305",100%
340,The Crossing,"$1,540,601",-,-,"$1,540,601",100%
341,Knerten og sjøormen,"$1,496,735",-,-,"$1,496,735",100%
342,The Swordsman,"$1,495,125",-,-,"$1,495,125",100%
343,Veinteañera: Divorciada y Fantástica,"$1,486,553",-,-,"$1,486,553",100%
344,Bohemian Rhapsody 2020 Re-release,"$1,462,813","$240,000",16.4%,"$1,222,813",83.6%
345,Greed,"$1,460,431","$355,308",24.3%,"$1,105,123",75.7%
346,Synchronic,"$1,460,112","$636,673",43.6%,"$823,439",56.4%
347,Extinction,"$1,451,864",-,-,"$1,451,864",100%
348,Wild Mountain Thyme,"$1,451,354","$213,440",14.7%,"$1,237,914",85.3%
349,The Cornered Mouse Dreams of Cheese,"$1,441,478",-,-,"$1,441,478",100%
350,Palm Springs,"$1,425,774","$164,000",11.5%,"$1,261,774",88.5%
351,Türkler Geliyor: Adaletin Kilici,"$1,412,062",-,-,"$1,412,062",100%
352,Cosmoball,"$1,409,892",-,-,"$1,409,892",100%
353,New Order,"$1,406,926",-,-,"$1,406,926",100%
354,Nang 3: Loi Hua Cua Cha,"$1,398,976",-,-,"$1,398,976",100%
355,Superagente Makey,"$1,395,217",-,-,"$1,395,217",100%
356,Wednesday Disappears,"$1,390,871",-,-,"$1,390,871",100%
357,Saint Maud,"$1,383,868",-,-,"$1,383,868",100%
358,Max und die wilde 7,"$1,382,005",-,-,"$1,382,005",100%
359,Josep,"$1,373,465",-,-,"$1,373,465",100%
360,Mutiny of the Worker Bees,"$1,368,432",-,-,"$1,368,432",100%
361,The Goonies 2020 Re-release,"$1,367,152","$825,000",60.3%,"$542,152",39.7%
362,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,363,212","$198,352",14.6%,"$1,164,860",85.4%
363,Karakomik Filmler: Emanet,"$1,360,837",-,-,"$1,360,837",100%
364,"Turu, the Wacky Hen","$1,360,825",-,-,"$1,360,825",100%
365,2 Hearts,"$1,349,286","$1,349,286",100%,-,-
366,The Assistant,"$1,338,881","$1,100,313",82.2%,"$238,568",17.8%
367,The Dark Knight 2020 Re-release,"$1,330,612",-,-,"$1,330,612",100%
368,The Tax Collector,"$1,325,781","$1,044,212",78.8%,"$281,569",21.2%
369,The Hater,"$1,325,591",-,-,"$1,325,591",100%
370,Temporary Difficulties,"$1,312,189",-,-,"$1,312,189",100%
371,Pee Nak 2,"$1,302,777",-,-,"$1,302,777",100%
372,Angrezi Medium,"$1,301,330",-,-,"$1,301,330",100%
373,Savage,"$1,289,813",-,-,"$1,289,813",100%
374,Kajillionaire,"$1,278,913","$531,430",41.6%,"$747,483",58.4%
